origin,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Réunion,Rwanda,Seychelles,Somalia,South Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe,Angola,Cameroon,Central African Republic,Chad,Congo,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Sao Tome and Principe,Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,Botswana,Lesotho,Namibia,South Africa,Swaziland,Benin,Burkina Faso,Cabo Verde,Côte d'Ivoire,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Saint Helena,Senegal,Sierra Leone,Togo,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Democratic People's Republic of Korea,Japan,Mongolia,Republic of Korea,Brunei Darussalam,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Philippines,Singapore,Thailand,Timor-Leste,Viet Nam,Afghanistan,Bangladesh,Bhutan,India,Iran (Islamic Republic of),Maldives,Nepal,Pakistan,Sri Lanka,Armenia,Azerbaijan,Bahrain,Cyprus,Georgia,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,State of Palestine,Syrian Arab Republic,Turkey,United Arab Emirates,Yemen,Belarus,Bulgaria,Czech Republic,Hungary,Poland,Republic of Moldova,Romania,Russian Federation,Slovakia,Ukraine,Channel Islands,Denmark,Estonia,Faeroe Islands,Finland,Iceland,Ireland,Isle of Man,Latvia,Lithuania,Norway,Sweden,United Kingdom of Great Britain and Northern Ireland,Albania,Andorra,Bosnia and Herzegovina,Croatia,Gibraltar,Greece,Holy See,Italy,Malta,Montenegro,Portugal,San Marino,Serbia,Slovenia,Spain,The former Yugoslav Republic of Macedonia,Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,"Bonaire, Sint Eustatius and Saba",British Virgin Islands,Cayman Islands,Cuba,Curaçao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sint Maarten (Dutch part),Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Ecuador,Falkland Islands (Malvinas),French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela (Bolivarian Republic of),Bermuda,Canada,Greenland,Saint Pierre and Miquelon,United States of America,Australia,New Zealand,Fiji,New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,Guam,Kiribati,Marshall Islands,Micronesia (Federated States of),Nauru,Northern Mariana Islands,Palau,American Samoa,Cook Islands,French Polynesia,Niue,Samoa,Tokelau,Tonga,Tuvalu,Wallis and Futuna Islands
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   70,   200,,,,   523,,,,   30,,,,   539,   308,  7 591,,  2 798,,  2 263,,  1 067,,,,  23 825,   24,   62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,   2,   5,,,,   342,,,,   9,,,0,,0,,,,   9,   61,   53,,,,,,   3,,   35,,,  6 588,,,,   539,,   38,   35,  8 060,,,,,   74,   126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   3,,,,,,,,,,,,   24,,,,   13,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,   1,   5,   18,,,,,,,   73,,,   8,   7,   6,,,,   67,   83,  19 978,,,,,,   14,,   9,,,,,,,   8,,   10,   20,   30,,,,,  1 803,   96,   181,  1 660,   107,   419,  2 557,   389,   841,   61,,,   69,   45,   324,   56,,,,   359,   99,   335,   821,   209,0,  5 140,,,,   20,,,,,,   46,,   1,  1 093,   7,   17,,,  2 242,,,,  5 114,,  4 601,   51,  63 381,,,  120 698,   426,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,   1,,,,,,,,,,,,,,,,   1,   5,,,,,,,,,   50,,,0,   1,   1,,,,   6,   84,   21,,,,,,   143,,   38,,,,,,,   38,,   35,   242,  26 253,   292,,,,   271,   993,,   11,   320,  10 894,0,  4 062,,   6,  2 063,,   561,  187 210,,  12 028,,,  1 109,,   295,,,,0,,  2 430,   188,   35,   48,,   26,   34,   475,   25,   122,   75,   6,   254,   36,   100,   32,,  9 605,,,   34,,,  2 013,  1 028,  38 271,,,  225 393,   43,,,,,,,,,,,,,,,,,,,,,,
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,,,,,,,   2,,   8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,,,,,,,,,,,,,0,   1,   2,,,,,,,,   34,,,   5,   7,   2,,,,   57,   165,   59,,,,,,   62,,   78,,,,,,,  1 169,,   54,   33,   482,   438,,,,   125,   250,,   3,,   7,,,,   753,,,,   433,,,,   157,,,   435,,,,,,,,  2 764,  2 608,  15 774,  4 768,,  1 990,  10 105,   638,   141,   232,   280,   215,   265,   157,,,,,   118,,,   437,,  2 202,,,  108 923,   124,,,,,,,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   123,   350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,   3,,,,,,,,,,,,,,,,,   86,,,  15 656,   35,,   16,,,,,,   126,,,   291,   70,  1 526,,  1 907,   694,  9 320,  18 236,  6 010,,,  1 210,   36,,   554,   35,   167,,   293,   132,  1 356,  11 100,  12 192,,,   233,  1 666,,   905,,   698,   5,,   63,,   221,   385,   587,   82,  14 405,   729,  13 404,  50 833,   6,   58,,  4 740,  11 002,,,,,,,,,   155,,,   51,,,,,,,,,,,,,,,,   66,,,,   290,,   79,  3 297,   50,  5 282,   498,   162,   72,,,,,   45,,,   908,,  54 702,,,  110 337,  29 103,   291,,,,,,,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,   8,,,,,,,,,,,,   10,,,,   1,   5,   8,   58,,,   54,0,,,  2 986,,   267,   79,,   7,,   4,   7,  2 221,  2 773,   419,,,,,,   39,,   55,,,   9,,,,   138,,   104,   128,   396,  1 239,   1,   259,,   188,   133,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,,,,,,   18,   2,,   24,,,,,,,   10,,,,,   532,   22,,  5 071,   342,,,,,,,,,,,,,,,,,,,,,,
India,,,,   39,,,  1 171,  1 362,   515,,  1 143,,,  1 276,,0,  1 359,  4 968,  4 284,,,,,,,,,,,,   801,  2 288,,  2 259,,,  1 967,   308,   997,  8 356,,,,,,,   454,,,   774,,,,,,,   405,,,,   935,,,  4 496,  12 064,,   178,  3 108,   24,   136,  2 595,   44,  7 818,,  20 808,  41 093,  2 611,  14 109,  3 389,,   116,,  13 339,  20 841,,,   951,  369 370, 2 916 548,  39 329,,,  60 505,   684,,   179,  16 927,   871,  375 183,   398,  152 554,  2 738,  906 468,,,   126,  458 294,,   24,   163,   60,   978,   436,,0,  9 801,   7,  4 609,,  2 604,   25,   14,   549,   62,   750,,   35,,  4 422,  8 730,  399 526,,,,0,,  5 351,,  3 413,   130,,  1 939,,   36,   11,  4 147,,  7 478,  2 419,  25 817,  31 877,0,   187,,  7 540,  7 360,,   32,   39,   160,   441,   12,   20,   45,,,   10,   287,,   80,,   711,,,   96,,   49,,0,   768,,,   247,   35,   18,,,   128,   12,  1 474,   215,   125,   697,   274,   101,   76,,,,,   147,,,   229,   156,  166 640,,,  450 406,  69 928,  9 292,  1 443,,   239,,,,,,,,,,,,   35,,,,   140,,
Indonesia,,,,,,,,,,,,,,   2,,,,,,,,,,,,,,,,  1 000,  1 481,  4 228,,,,,,,   133,  1 191,,,,,,,,,,,,,,,,,,,,,,,,  21 305,  90 186,,   845,  3 624,,   65,  3 324,   49,,,  252 710,,  3 752,  21 520,   545,  4 485,   793,,  70 627,,  1 786,,,,   599,   3,,,  6 151,   43,,,,   183,  38 147,   84,  4 605,  108 178,  635 007,,,   43,  46 598,,,   1,   22,   191,   62,,,   377,0,,,   422,,   1,   36,   59,   24,,   2,,   427,  1 276,   938,,,,0,,   195,,   166,   11,,   28,,   3,   2,   595,,   669,   639,  3 852,  8 819,,,,  186 717,  2 137,,,,   8,,   59,,,,,,,,,,,,,,,,,0,,,,,   13,,   27,,   69,,   49,   47,   12,,   51,   77,   22,,,,,   29,,,   52,,  7 298,,,  48 387,  39 102,  2 024,,   819,  7 118,   85,,,,,,,,,,,   15,,,,,,
Iran (Islamic Republic of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   134,   383,,,,,,,   45,   680,,,,,,,,   61,,,,,,,,,,,,,  1 813,  2 699,,,,,,  1 237,,,,,,,,,   212,,0,,,,,,  3 051,,,,  4 108,   1,  9 654,  2 088,,   299,,  14 976,  47 785,   119,,,,,,,,  23 816,,0,   25,   98,   47,  1 800,   197,,   853,  3 096,   11,  2 580,,  8 022,,,   558,   14,   85,,   15,   24,  5 198,  40 154,  31 563,,,,0,,  2 645,,  19 096,   9,,   52,,   7,   8,  1 771,,  8 535,  1 645,  23 359,  95 723,,   224,,  5 187,  4 686,,,,,,,,   3,,,,   70,,,,,,,,,,,,,,,,   81,   20,   12,,   58,,   31,   302,   21,,   82,   61,   64,,,,,   40,,,   201,,  29 467,,,  210 941,  17 599,   394,,,,,,,,,,0,,,,,,,,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   918,  1 359,  3 879,  1 171,,0,,,,,   142,,,,,,,,,,,,   77,,,,,,,,,   97,,,,,,,,,,,,,,   32,,   18,,0,,,,,,  1 189, 1 153 969,,,   894,0,,,,   78,,,  74 502,  25 773,,  11 774,   118,,  42 857,,  3 825,  33 620,,  4 943,,   171,   65,   732,   562,,   299,  1 424,   10,,,  2 418,,,   206,   2,   87,,   3,,   738,  38 795,  15 166,,,,0,,  6 631,,   176,   32,,   16,,   21,   12,   638,,  3 043,   45,  4 614,  6 844,,,,  1 151,  3 291,,,,,,,,,,,,   6,,,,,,,,,,,,,,,,   10,,,,   23,,,   81,   2,,   22,   56,   12,,,,,   12,,,   68,,  6 875,,,  44 916,  5 202,   967,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,   30,,,,,,,,,,,,,,   1,,,,,,,,   111,,,,,,   185,,   89,  5 788,,,,,,,,,,,,,,,,,,,,,,,,,   466,,,   671,   2,,,,,,,,   33,,,,,,,,,,,,,,,,,   193,,,,   75,,,,,,,,   130,,,   16,   4,   16,   26,   101,,   96,   194,   1,,  1 660,   895,,,   88,   81,,  1 628,   14,   18,   446,   870,  611 877,,,,0,,  1 042,,  4 114,   47,,   199,,   6,   2,  2 044,,   544,  1 972,  6 702,  12 186,   1,   412,,  3 733,  1 367,,,,   55,,,,   80,,,,   51,,,,,,,,,,,,,,,,   24,   24,,,   186,   15,   9,   143,   22,   109,   91,   94,   67,,,,,   150,,,   55,   87,  27 255,,,  169 827,  51 999,  7 053,,,   67,,,,,,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  9 974,,,,,,   18,,,,,,,,,,,,,   12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,   731,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,   5,,,   995,,,,,,,,   161,  2 441,,,,,,,   24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   59,,,,,,,,,,,,,0,,,,   95,,,,   6,,   3,,,,  98 290,,   658,,,   192,   58,   35,   425,   542,   20,   262,  2 842,   15,  4 532,,  1 048,,,   350,   20,   42,,   21,   30,   422,  1 192,  11 935,,,,0,,  1 413,,  7 287,   8,,   28,,   13,   3,   656,,  1 412,  1 692,  5 866,  9 659,,   40,,  2 958,  1 754,,,,,,,,   4,,,,   185,,,,,,,   87,,,,,,,,,   123,   177,   58,   68,  1 195,,   414,  1 466,   79,  2 137,  1 367,   605,   174,,,,,   362,,,  1 035,   15,  16 092,,,  86 048,  7 756,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,,,   38,,,,,   22,,,   404,   360,,,,,   7,,,,,,,  3 143,  4 657,  13 295,  1 296,,  1 622,,   161,,  1 219,  10 652,,,,   201,,,   123,   102,,   252,,   50,,,,,,,,,,,,,   430,,,   940,   3,,,   7,,,,,   207,,   662,,,,,   6,,,   310,,,   3,,,,   120,,,  4 617,   518,,,,,,,,  1 958,,,   10,   113,   255,   389,  6 091,   116,   461,  1 020,   41,,,  2 203,,,   504,   38,  1 296,,   16,   40,  1 090,  4 979,  88 822,  11 287,   109,   165,  2 065,,  12 933,,,   665,,   985,  2 986,   51,  4 654,  12 204,   39,  18 566,  242 108,  521 793,  486 516,   806,  12 479,  3 886,  14 055,  208 147,,   49,,   78,,   24,,   29,   492,,,  6 960,,   143,  1 227,,   37,,   483,,   7,,,,,,,  1 408,   391,   325,   198,  3 503,   187,   454,  336 040,   883,  70 081,  4 422,  2 660,  1 252,,   108,,   699,  2 393,,  15 780,  64 792,   81,  337 392,,,  580 592,  271 095,   425,,   231,,,,,,,,,,,,,   132,,,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   4,,,,,,,,,,,,,,,,   1,   1,   4,,,,,,,,   74,,,   21,   5,   23,,0,,   44,   153,  138 898,,,,,,   72,,   38,,,   7,,,,   20,,   115,   90,   463,   701,,,,   392,   430,   220,   386,   162,  2 792,   622,   450,   272,  3 751,   656,,   47,   421,   65,,,,,,   84,   62,   78,   111,0,   811,,   260,   445,   356,   16,,   20,   116,   39,   942,   27,   5,   24,   14,   96,   13,,,   83,,,,,   220,   316,  98 288,,,  334 140,   662,,,,,,,,,,,,,,,,,,,,,,
Japan,,,,,,,,,   23,,,,,,,,   71,,   146,,,,,,,,,   10,,,  1 455,  4 156,,,,,,,   168,  1 070,,,,   2,,,   30,   27,,,,,,,,,   7,,,,,,,  4 547,  9 505,,   180,,   122,  4 447,   83,   58,  12 535,,  5 255,,  2 891,,  10 091,,   124,,  9 042,   59,   903,,   65,,,   9,,,,   21,,,,   143,,,,,,,,   972,,,,   26,   48,   271,   326,,,   655,   6,,,   935,,,   372,   17,   102,,   4,   14,   826,  1 793,  27 561,,,,0,,  1 185,,  13 179,   15,,   81,,   4,   8,  1 640,,  1 636,  2 808,  18 064,  24 560,,   336,,  4 076,  3 892,,   2,,   5,,   76,,   7,,,,  1 256,,,   221,,,,   163,,   11,,,,,,,   207,   40,   84,   106,  3 096,   54,   169,  5 812,  1 401,  86 768,   645,   515,   245,,,,  2 648,  2 398,,,   763,   109,  11 783,,,  290 128,  21 752,  2 145,,,   263,   101,,  2 455,,,   66,,   715,   69,,,   21,,   26,,   50,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 286,  3 386,  9 668,,,,,,,,   54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  4 851,,,,   182,,,,,,,,,,,,,   3,,,  3 442,   110,,  7 970,,,  21 348,  1 380,  4 527,  10 999,  90 278,  55 317,,   217,  26 078,,   13,   83,   25,   350,   223,,   261,  1 555,   9,  4 486,,   579,,,   58,0,   22,,   3,,   48,   839,  2 469,,,,0,,  2 473,,  5 005,   12,,   3,,   12,   8,   910,,   412,   203,   940,  12 527,,,,   389,   279,,,,,,,,,,,,,,,,,,,   175,,,,,,,,,   8,,,   31,   35,   13,   43,   160,   20,,   139,   237,   24,,,,,   27,,,   462,,  2 025,,,  31 871,  2 175,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   142,   403,,,,,,,,,,,,,,,,,,,,,,,,,,,,  38 405,  1 101,  31 036,  30 344,,,,,,   528,   97,,,,,,,,,,,,,,,  1 408,,,,,,   787,  4 940,,   59,  21 017,,  6 279,   3,,,,,,,,  1 209,,,  81 148,   89,   454,   469,  4 778,  20 541,0, 2 349 697,   21,  330 947,,   38,  7 616,,0,0,   50,,   528,  13 109,0,   135,   121,,,,0,,  3 531,,   50,,,   27,,   11,   4,   8,,   608,   45,   436,  10 199,,,,   4,   224,,,,,,,,,,,,   3,,,,,,,,,,,,,,,,   5,,,,,,,,0,,   5,,,,,,,,,,,,  3 661,,,  5 816,   297,,,,,,,,,,,,,,,,,,,,,,
Kenya,   186,   87,,   187,,,,,,,,,   955,   25,,0,  33 424,  33 613,   433,,,,,,,,,,,,   131,   375,,  6 118,,,   122,,  1 641,  2 140,,,,,,,   8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   4,,,,,,,,  8 170,,,,,,,,,   21,,,,,,,,,,,,   42,,,,   2,   11,   18,   75,,,   394,   1,,,   609,,   2,   98,   10,   93,,0,,   489,   995,  109 722,,,,,,   480,,   134,   18,,   43,,,   5,   230,,   542,   242,   947,  1 361,,,,   999,  1 576,,,,   6,,,,   11,,,,,,,,,,,,,,,,,,,,   4,,,,   69,,,   6,   2,,   8,,,,,,,,,,,,  15 914,,,  14 371,  4 680,   270,,,,,,,,,,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,   1,,,,,,,,,   3,,,0,,0,,,,,,   24,,,,,,,,   21,,,,,,,,,,,   1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,   428,   510,   710,,,   991,,,,   94,,  1 184,,,,,,,   22,,,   63,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 420,  2 103,  6 005,,,,,,,,   90,,,,,,,,,,,,   29,,,,,,,,,,,,,,,,,,,,,,,,,   47,,,,,,,,  16 860,,,,,   20,,,  1 728,   58,,   309,,   233,,   106,   64,  6 155,,  16 702,,   69,  13 095,,,   9,   14,   154,   194,,,   248,   10,,,   96,,,   17,0,   39,,   1,,   24,   635,   820,,,,,,   29,,   49,   8,,,,   8,,   41,,   140,   7,   680,,,,,   647,   176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,   5,   23,,,,,,,,,   63,,  2 442,,,  8 889,   919,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   48,,,,,,,,,0,,,,,,,,,,,,,,,,,,,  5 606,,  20 042,,  5 481,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,  3 487,,   6,  3 360,,  1 078,,,,,,,,,   423,,,  6 071,   10,   37,   116,   106,,,  433 625,   3,  37 304,,   2,  1 120,,0,0,   6,,   593,  1 006,0,   36,   18,,,,,,   74,,   3,,,,,,,   17,,   357,   45,   103,   199,,,,0,   39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,   4,,,,,,,,,,,,   580,,,  1 509,   101,,,,,,,,,,,,,,,,,,,,,,
Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   4,,,   121,,,,,  4 321,,  165 019,,  1 033,,  58 722,,,,,,,,,,,   1,,,,,,,,,,,,,,,,0,   2,   40,,,,   100,,,,   18,,,0,,   6,,,,   56,   284,   64,,,,,,   6,,   77,,,,,,,   20,,   69,   105,  50 300,  2 315,0,,,   55,   724,,,,,,,,,,,,,,,,,,,,,,,,,,,,   3,,,,,,,   539,0,,   13,,,,   920,,,,,,,,  13 860,,,  171 577,  11 172,,,   515,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   199,,,,,,,,,,,,,,,,,,,   358,  2 526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   41,  1 382,,  9 479,,,,,,,,,   15,,,  11 085,   10,   32,   21,  3 167,,,  95 730,   5,  20 185,,   15,  6 102,,0,0,   703,,,  11 157,   15,  1 811,  1 160,,,,0,,   75,,   38,   4,,   20,,,   3,   50,,   445,   106,  1 310,  3 143,,   8,,   128,   422,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,,,   21,,,   270,0,,   47,   17,,,,,,,,,   124,,  7 412,,,  26 179,  10 144,,,,,,,,,,,,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,   358,,,   772,,  1 564,  2 317,  6 615,   923,,,,,,   68,   903,,,,,,,   525,   852,,  4 230,,   106,,,,   911,  2 190,,,,,,,,,,,,,,,,,,,,   30,,,,,,,,,,   7,,,   8,  1 129,,   728,   685,,  1 173,  3 924,  3 021,  4 513,,,  3 090,  57 203,  2 342,,   273,  5 513,,   32,   266,   51,   304,   467,,   306,  2 133,   14,  2 132,,  7 758,,,   142,   14,   26,,   45,   118,   590,  15 745,  8 712,,,,0,,  5 775,,  9 128,   30,,   17,,   5,   4,  1 282,,  1 015,  1 528,  38 599,  45 648,,   34,,  1 682,  3 516,,   46,,,,   312,   12,,   123,,   12,   717,,   121,,,,,   35,,   4,,0,,,,   35,   86,,   27,,  1 542,,   282,  3 248,   64,  17 987,   211,  1 078,   148,,,,,   49,,,  7 601,,  52 394,,,  86 369,  81 858,,,,,,,,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,,  3 531,,,,,,,   79,,,,,,,,,,,,,,,,,,,   505,,   186,  187 019,   293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,0,,,,,,,,   31,,,0,,   7,,,,,   16,   45,,,,,,   3,,0,,,,,,,,,   3,   6,   10,,,,,   41,   80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   6,,   11,,,,,,,,,,,,   77,,,,   43,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   40,,,,,,,,,   308,   2,,,,  2 793,   153,  9 824,  342 691,  3 906,,   586,,,  7 823,,,  130 316,   81,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,   2,   1,,,,,,,,   50,,,   4,0,   21,,,,   66,   438,   219,,,,,,   35,,   4,,,   8,,,,   620,,   150,   204,   803,  2 666,,,,   980,   272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,,   8,,,,,,,,,,,,   125,,,  11 455,   63,,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,0,,,,,,,,  1 096,,,,,,  1 982,  2 936,,   803,  2 388,  1 224,,,,   52,   158,,,,,  5 379,,,,,,,   124,   100,,,,,,,,,,,,,,,,,,,,  13 860,,,,   32,,,,,,,,,,,,,0,,,,   57,,,  19 180,   338,,   154,,,,,,   743,,,,   34,   25,   332,   433,,,   373,   7,,,   71,,,   29,0,   84,,   2,,   57,   293,  6 468,,,,0,,  1 123,,  5 450,   435,,   2,,   45,   8,   78,,   254,   80,  1 354,  1 438,,,,   199,   636,,,,,,,,,,,,,,,,,,,,,,,,,,,,   12,,,,,,   11,   113,   2,,   17,,,,,,,,,,   124,,   571,,,  4 037,  1 268,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   1,0,0,,,,,,,,   10,,,0,,0,,0,,   3,,   7,,,,,,   12,,   3,,,   1,,,,   58,,   208,   5,   103,   35,,,,,  2 790,,,,,,,,,,,,,,,,,,,,,,,,,,,,   3,,,,,,,   170,   2,,   3,,,,,,,,,,,,   34,,,,   16,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   192,,,,,,,,,,,,,,,,,,,  4 347,  6 622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   23,  3 623,,  13 594,,,,,,,,,   63,,,  18 380,   9,   41,   42,  113 201,,0,  82 889,   9,  25 282,,   13,  3 195,,0,0,  1 246,,  17 512,,   8,   616,  1 182,,,,0,,   293,,   16,   3,,   38,,   3,   2,   37,,   501,   109,  1 547,  2 386,,   13,,   172,   383,,,,,,,,,,,,,,,,,,,,,,,,,,,,   8,,,,   78,,   15,  1 980,0,,   36,   41,,,,,,,,,   130,,  6 640,,,  29 745,  4 818,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   64,   14,,,,   5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   3,,,,,,,,,,,,   11,,,,   2,   4,   4,   177,,,   92,   14,,,   64,,,   19,   53,   19,,   1,,   58,   94,   691,,,,0,,   146,,   929,,,  1 485,,   11,   29,   658,,   420,  4 600,  8 016,  5 470,   8,,,   399,  1 272,,,,,,,,,,,,,,,,,,,,,,,,,,,,   9,,,,,,,   213,   2,,   12,   21,,,,,,   10,,,,,   551,,,  2 053,   125,,,,,,,,,,,,,,,,,,,,,,
Madagascar,,  10 810,,,,,,,   56,  1 086,,  3 339,,   34,,,,,,,,,,,,,,,,,   48,,,,,,   100,,,   422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,,,,,,,,,,,,,,,0,   6,   8,,,,   144,,,,   14,,,0,0,   2,,   1,,   337,   57,   110,,,,,,   63,,   193,,,   10,,,,   39,,   42,   258,  38 740,   430,,,,   68,   870,,,,,,,,,,,,,,,,,,,,,,,,,,,,   2,,,,,,,   14,   2,,   9,,,,,,,,,,,,  1 180,,,,   137,,,,,,,,,,,,,,,,,,,,,,
